company_number,company_name,candidate_domain,http_status,match_strength,matched_on,page_sha256,notes
16423961,MAPH & SPARK LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16437163,EVENTS BY ABBIE MELISSA LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16441069,QUAY MUSIC LTD,quaymusic.com,200,none,,6dc9c7fc93bb488bb0520a6c780a8d3c0fb5486a4711aca49b4c53fac7393023,
16448254,EVM REMOVALS LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16450434,LARISA RECORDS LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16476197,SUNSOUTH LTD,sunsouth.co.uk,200,weak,distinctive_name_only,f640f070050ea373a1ec4afff625c5759a9abbab2a847738574ba2821ee47f79,1 other candidate(s) also served a page
16479983,EXCLUSIVE BRANDING EDGE ACADEMY LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16480402,YOVKO LTD,yovko.com,200,weak,distinctive_name_only,844f913f9c5b527bacc9d383f42f27bfb0d40cea9e2ae5db651408afb1882376,
16496471,WESTERN TIMBERNEST LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16497873,HOT GIRL SWAPS LTD,hotgirlswaps.com,200,weak,distinctive_name_only,0d65c82cc6715a310d0ee46456d9e5857ccaf1a92171f2903a1169d3ee2046d2,possible placeholder page (under construction)
16509422,GATWICK DIRECT AEROPORT LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16515773,AKP DESIGN STUDIO LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16529548,SHR JUICES LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16544694,LEEN VALLEY PLANTS LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16553819,AFRICAN HERITAGE FOOD SOLUTIONS LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16554624,FIRST CLASS GAS LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16555568,SAURAV KUMAR LTD,sauravkumar.com,200,weak,distinctive_name_only,f4f1563f781a83d7fad8b737878c0e7a4a52fa47336f3e36c9a889eb43965044,
16562797,THEFLOORWORLD LTD,thefloorworld.com,200,weak,distinctive_name_only,fbe807ed48bdb9201398d2ff5f87da83670d92ce31368d67bc6c5499319d672a,1 other candidate(s) also served a page
16566976,DEX EMPIRE LTD,dexempire.com,200,none,,6dc9c7fc93bb488bb0520a6c780a8d3c0fb5486a4711aca49b4c53fac7393023,
16567700,PREMIER POWDER COATING SYSTEMS LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
16582568,BHARAT MART LIMITED,bharatmart.uk,200,strong,company_number:16582568,990f217cb2d3e1e8691c18d3f4c6c1f94488aea8a4fb6723b4032bcb615fbeb4,1 other candidate(s) also served a page
